video_id,date,source,keywords,description,path,title
3BruTo6pie0,2020-10-27T17:17:02Z,Wall Street Reporter,[],Icanic Brands (OTC: ICNAF) (CSE: ICAN) LiveChat with CEO Brando Kou.,report/investing/3BruTo6pie0.html,Investors Discovery Day: Icanic Brands (OTC: ICNAF) (OTC: ICAN) - CEO LiveChat
IEh-ZmqJJQ4,2020-10-22T21:35:05Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/IEh-ZmqJJQ4.html,VSBLTY Groupe (OTC: VSBGF) (CSE: VSBY) Investors Discovery Day livestream 10/22/20
nHIYF9_zn94,2020-10-22T19:11:03Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/nHIYF9_zn94.html,NEXT SUPER STOCK FansUnite (OTC: FUNFF) (CSE: FANS) 10/22/20 &quot;E-Sports/iGaming GAME CHANGER&quot;
7GW9HRwiG6U,2020-10-21T22:16:26Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/7GW9HRwiG6U.html,NEXT SUPER STOCK Peak Fintech (OTC: PKKFF) (CSE: PKK) &quot;China Fintech Billions&quot; livestream october 21
FphS20hxdNQ,2020-10-21T21:24:51Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/FphS20hxdNQ.html,Logiq (OTC: LGIQ) &quot;Asia Fintech/Ecomm with 10X Upside Potential&quot; NEXT SUPER STOCK livestream Oct 21
QzWmpsSqCkM,2020-10-20T17:40:13Z,Wall Street Reporter,[],Smart Money LiveChat with Will Hershey CEO of Roundhill Investments sponsor of thematic ETF's: Roundhill Sports Betting & iGaming ETF (NYSE: BETZ) ...,report/investing/QzWmpsSqCkM.html,Smart Money LiveChat: &quot;Investing in eSports &amp; Sports Betting&quot; (NYSE: BETZ) (NYSE: NERD)
nwzC2Z2UrWQ,2020-10-15T19:26:31Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/nwzC2Z2UrWQ.html,"Appia Energy (OTC: APAAF) CSE: API) Investors Discovery Day Livestream Oct 15, 2020"
dr8PIB-Afbo,2020-10-14T17:25:24Z,Wall Street Reporter,[],CEO LiveChat.,report/investing/dr8PIB-Afbo.html,NEXT SUPER STOCK LiveChat: dynaCERT (TSX: DYA) (OTC: DYFSF) &quot;Carbon Credit Billions&quot;
T0IzembJW5k,2020-10-13T17:08:31Z,Wall Street Reporter,[],Empower (OTC: EPWCF) (CSE: CBDT) is an integrated health & wellness company with a network of corporate and franchised health & wellness clinics in the ...,report/investing/T0IzembJW5k.html,Investors DISCOVERY DAY: Empower Clinics (OTC: EPWCF) (CSE: CBDT)
JMRD4E3OYHg,2020-10-12T17:22:49Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/JMRD4E3OYHg.html,NEXT SUPER STOCK CloudMD (OTC: DOCRF) (TSX.V: DOC) Oct12 livestream
dxCCM4Ue084,2020-10-08T18:15:18Z,Wall Street Reporter,[],12:30PM EST CloudMD (OTC: DOCRF) 1:00 PM EST Logiq (OTC: LGIQ),report/investing/dxCCM4Ue084.html,NEXT SUPER STOCK LiveChat: CloudMD (OTC: DOCRF) &amp; Logiq (OTC: LGIQ)
QkNZEZS9nPQ,2020-10-08T03:36:11Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/QkNZEZS9nPQ.html,"FansUnite (OTC: FUNFF) NEXT SUPER STOCK livestream October 7, 2020"
ma07bz66wE8,2020-10-07T19:46:32Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/ma07bz66wE8.html,"Peak Fintech Group (OTC: PKKFF) (CSE: PKK) October 7, 2020 Livestream"
G83GTQIAl88,2020-10-07T18:21:28Z,Wall Street Reporter,[],12:30EST - Peak Fintech (OTC: PKKFF) (CSE: PKK) 1:00PM EST FansUnite (OTC: FUNFF) (CSE: FANS),report/investing/G83GTQIAl88.html,NEXT SUPER STOCK CEO LiveChat: Peak Fintech (OTC: PKKFF) &amp; FansUnite (OTC: FUNFF)
nA_F3BbLmxA,2020-10-02T02:17:47Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/nA_F3BbLmxA.html,FansUnite (OTC: FUNFF) Next Super Stock LiveChat 10/1/20
MDQDXlApFXo,2020-10-01T18:42:09Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/MDQDXlApFXo.html,ImagineAR (OTC: IPNFF) NEXT SUPER STOCK CEO LiveChat 10/1/20
kr4hBqjctwQ,2020-10-01T17:41:29Z,Wall Street Reporter,[],12:30PM EST ImagineAR (OTC: IPNFF) (CSE: IP) 1:00PM FansUnite (OTC: FUNFF) (CSE: FANS),report/investing/kr4hBqjctwQ.html,NEXT SUPER STOCK LiveChat: ImagineAR (OTC: IPNFF) &amp; FansUnite (OTC: FUNFF)
htnpk6CNdi4,2020-09-25T04:55:24Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/htnpk6CNdi4.html,Xphyto sep 23
2JgEhSeftZk,2020-09-24T23:27:20Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/2JgEhSeftZk.html,ImagineAR (OTC: IPNFF) NEXT SUPER STOCK Livestream 9/24/2020
i9THgWPJ8hg,2020-09-24T23:13:28Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/i9THgWPJ8hg.html,Peak Fintech Group (OTC: PPKFF) (CSE: PPK) NEXT SUPER STOCK Livestream 9/24
xxZsQ5g4FhU,2020-09-23T22:18:15Z,Wall Street Reporter,[],Valeo Pharma (OTC: VPHIF) (CSE: VPH) LiveChat with CEO Steve Saviuk.,report/investing/xxZsQ5g4FhU.html,NEXT SUPER STOCK CEO LiveChat: Valeo Pharma (OTC: VPHIF) (CSE: VPH)
jYsEiELmcGg,2020-09-23T17:43:27Z,Wall Street Reporter,[],12:30PM EST - CloudMD (OTC: DOCRF) (TSX.V:DOC) 1:00PM EST - Xphyto Therapeutics (OTC: XPHYTF) (CSE: XPHY),report/investing/jYsEiELmcGg.html,NEXT SUPER STOCK CEO LiveChat: CloudMD (OTC: DOCRF) &amp; Xphyto Therapeutics (OTC: XPHYF)
tveS3cO0e-E,2020-09-22T20:53:51Z,Wall Street Reporter,[],Click the SUBSCRIBE button now - and get our latest videos! SUBSCRIBE to our channel: https://bit.ly/2x22Q1C Follow Us for Frequent Updates and Videos!,report/investing/tveS3cO0e-E.html,Logiq (OTC: WEYL) NEXT SUPER STOCK livestream 9/16/20
49cr94azFrg,2020-09-17T18:31:26Z,Wall Street Reporter,[],"LiveChat with Evan Gappleberg, CEO Next Tech AR (OTC: NEXCF) (CSE: NTAR)",report/investing/49cr94azFrg.html,NEXT SUPER STOCK CEO LiveChat: Next Tech AR (OTC: NEXCF)
